column,nbValues,type,filledRatio
code,560030,float64,99.957
url,560416,object,100.0
creator,7159,object,100.0
created_datetime,404644,object,100.0
last_modified_datetime,370398,object,100.0
product_name,358936,object,99.659
generic_name,51763,object,12.09
quantity,17900,object,34.197
packaging,29513,object,25.448
packaging_tags,24092,object,25.447
brands,67250,object,70.159
brands_tags,62554,object,70.156
categories,64956,object,99.999
categories_tags,40670,object,99.999
categories_en,40669,object,99.999
manufacturing_places,14492,object,11.137
manufacturing_places_tags,13161,object,11.133
labels,43425,object,27.7
labels_tags,32142,object,27.7
labels_en,32087,object,27.7
emb_codes,18381,object,9.687
emb_codes_tags,15657,object,9.685
purchase_places,7147,object,15.315
stores,8833,object,19.184
countries,6650,object,99.879
countries_tags,2826,object,99.879
countries_en,2826,object,99.879
ingredients_text,344729,object,73.715
allergens,4666,object,22.684
traces_tags,7232,object,11.888
traces_en,7232,object,11.888
serving_size,31230,object,56.36
serving_quantity,1707,float64,55.836
additives_n,37,float64,73.715
additives_tags,62106,object,44.759
additives_en,62108,object,44.759
ingredients_from_palm_oil_n,5,float64,73.716
ingredients_that_may_be_from_palm_oil_n,7,float64,73.715
nutriscore_score,56,float64,100.0
nutriscore_grade,6,object,100.0
pnns_groups_1,15,object,99.93
pnns_groups_2,41,object,100.0
states,1707,object,100.0
states_tags,1708,object,100.0
states_en,1708,object,100.0
brand_owner,20717,object,41.218
main_category,17876,object,100.0
main_category_en,17874,object,99.999
image_url,324720,object,57.945
image_small_url,324720,object,57.945
image_nutrition_url,246825,object,44.044
image_nutrition_small_url,246825,object,44.044
energy-kj_100g,4046,float64,13.1
energy-kcal_100g,5347,float64,93.779
energy_100g,4805,float64,99.752
fat_100g,6387,float64,99.743
saturated-fat_100g,4632,float64,99.739
trans-fat_100g,415,float64,40.375
cholesterol_100g,653,float64,41.106
carbohydrates_100g,9221,float64,99.705
sugars_100g,6974,float64,99.741
fiber_100g,1432,float64,59.786
proteins_100g,5045,float64,99.743
salt_100g,9637,float64,99.805
sodium_100g,9579,float64,99.805
vitamin-a_100g,2656,float64,32.26
vitamin-c_100g,1303,float64,32.756
potassium_100g,1799,float64,13.971
calcium_100g,1762,float64,41.297
iron_100g,1685,float64,40.647
nutrition-score-fr_100g,56,float64,100.0
